job_id,title,employer,sector,source,salary_min,salary_max,location,latitude,longitude,remote,posted_date,url,zip,confidence
FAA-AHF-26-PUB NOT-96448,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",Federal Aviation Administration,federal,usajobs,68863,82154,"Reading, Massachusetts",42.529438,-71.10227,,2025-10-03T00:00:00.0000,https://www.usajobs.gov:443/job/847375300,01940,0.76
FAA-AHF-26-PUB NOT-96448,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",Federal Aviation Administration,federal,usajobs,68863,82154,"Peabody, Massachusetts",42.52636,-70.92851,,2025-10-03T00:00:00.0000,https://www.usajobs.gov:443/job/847375300,01940,0.74
CBTD-12813581-26-MJ,Medical Support Assistant (Advanced),Veterans Health Administration,federal,usajobs,55959,72744,"Lynn, Massachusetts",42.4637,-70.9502,,2025-10-14T16:48:41.6770,https://www.usajobs.gov:443/job/848105500,01940,0.72
FAA-AHF-26-PUB NOT-96448,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",Federal Aviation Administration,federal,usajobs,68863,82154,"Burlington, Massachusetts",42.506775,-71.195885,,2025-10-03T00:00:00.0000,https://www.usajobs.gov:443/job/847375300,01940,0.7
5564015572,Master's Level Clinician (Seeking LMHC) - Fee For Service,Thriveworks,private,adzuna,111937.74,111937.74,"Wakefield, Middlesex County",42.501445,-71.069036,False,2026-01-01T19:58:41Z,https://www.adzuna.com/details/5564015572?utm_medium=api&utm_source=516145e7,01940,0.67
DESTIMP-12815267-26-VL,Special Agent - Healthcare Services/Medical Background,Federal Bureau of Investigation,federal,usajobs,99461,128329,"Boston, Massachusetts",42.358635,-71.0567,,2025-12-31T12:43:04.0600,https://www.usajobs.gov:443/job/847987400,01940,0.66
FAA-AHF-26-PUB NOT-96448,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",Federal Aviation Administration,federal,usajobs,68863,82154,"Cambridge, Massachusetts",42.36679,-71.10602,,2025-10-03T00:00:00.0000,https://www.usajobs.gov:443/job/847375300,01940,0.66
AGL-ERR-25-2101-96016,Technical Operations (AJW) Airway Transportation Systems Specialist Employee Requested Reassignment,Federal Aviation Administration,federal,usajobs,46366,146571,"Boston, Massachusetts",42.358635,-71.0567,,2025-09-29T00:00:00.0000,https://www.usajobs.gov:443/job/846713900,01940,0.66
JDP-12796832-25-DJ,Intelligence Research Specialist,Department of Homeland Security - Agency Wide,federal,usajobs,91430,161448,"Boston, Massachusetts",42.358635,-71.0567,,2025-09-08T00:00:00.0000,https://www.usajobs.gov:443/job/845309600,01940,0.66
CBTD-12764973-25-LS,Physician (Physical Medicine & Rehab),Veterans Health Administration,federal,usajobs,240000,289900,"Boston, Massachusetts",42.358635,-71.0567,,2025-12-17T09:51:41.3630,https://www.usajobs.gov:443/job/840656400,01940,0.66
