job_id,title,employer,sector,source,salary_min,salary_max,location,latitude,longitude,remote,posted_date,url,zip,confidence
AAC-FAA-26-PUB NOT-96672,Public Notice for Aerospace Engineer (Direct Hire),Federal Aviation Administration,federal,usajobs,34454,162672,"Ponte Vedra Beach, Florida",30.22576,-81.38597,,2025-12-12T00:00:00.0000,https://www.usajobs.gov:443/job/852272900,32082,0.71
AAC-FAA-26-PUB NOT-96467,Public Notice for General Engineer (Direct Hire),Federal Aviation Administration,federal,usajobs,34454,162672,"Ponte Vedra Beach, Florida",30.22576,-81.38597,,2025-12-12T00:00:00.0000,https://www.usajobs.gov:443/job/852270000,32082,0.71
FAA-AHF-26-PUB NOT-96448,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",Federal Aviation Administration,federal,usajobs,68863,82154,"Ponte Vedra Beach, Florida",30.22576,-81.38597,,2025-10-03T00:00:00.0000,https://www.usajobs.gov:443/job/847375300,32082,0.71
ACT-FAA-26-PUB NOT-96787,"Public Notice for General Inspection, Investigation, Enforcement, and Compliance (Direct Hire)",Federal Aviation Administration,federal,usajobs,52998,172257,"Ponte Vedra Beach, Florida",30.22576,-81.38597,,2025-12-30T00:00:00.0000,https://www.usajobs.gov:443/job/853256200,32082,0.71
5552210243,Patient Care Coach,Serenity Mental Health Centers,private,adzuna,41238.54,41238.54,"Sawgrass, St. Johns County",30.194572,-81.383787,False,2025-12-22T14:32:49Z,https://www.adzuna.com/details/5552210243?utm_medium=api&utm_source=516145e7,32082,0.64
AAC-FAA-26-PUB NOT-96467,Public Notice for General Engineer (Direct Hire),Federal Aviation Administration,federal,usajobs,34454,162672,"Saint Augustine, Florida",29.895767,-81.31555,,2025-12-12T00:00:00.0000,https://www.usajobs.gov:443/job/852270000,32082,0.61
FL-12854492-AR-T32-26-166,SUPERVISORY CIVIL ENGINEER (TITLE 32),Army National Guard Units,federal,usajobs,88621,115213,"Saint Augustine, Florida",29.895767,-81.31555,,2025-12-16T11:25:21.5500,https://www.usajobs.gov:443/job/852561600,32082,0.61
AAC-FAA-26-PUB NOT-96672,Public Notice for Aerospace Engineer (Direct Hire),Federal Aviation Administration,federal,usajobs,34454,162672,"Saint Augustine, Florida",29.895767,-81.31555,,2025-12-12T00:00:00.0000,https://www.usajobs.gov:443/job/852272900,32082,0.61
ACT-FAA-26-PUB NOT-96787,"Public Notice for General Inspection, Investigation, Enforcement, and Compliance (Direct Hire)",Federal Aviation Administration,federal,usajobs,52998,172257,"Saint Augustine, Florida",29.895767,-81.31555,,2025-12-30T00:00:00.0000,https://www.usajobs.gov:443/job/853256200,32082,0.61
FAA-AHF-26-PUB NOT-96448,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)",Federal Aviation Administration,federal,usajobs,68863,82154,"Saint Augustine, Florida",29.895767,-81.31555,,2025-10-03T00:00:00.0000,https://www.usajobs.gov:443/job/847375300,32082,0.61
